"","date","date1","mon","weekday","mean_price","trade","mean_T","min_T","max_T","prec","max_ws","mean_ws","rh","light","prec1","pre.price"
"2",2011-07-18,2011-07-18,"07","월요일",6813,48,27.324708249497,22.0209657947686,33.5736016096579,0,4.04796780684105,1.46893360160966,69.861046277666,10.444185110664,"0",10829
"3",2011-07-22,2011-07-22,"07","금요일",11125,52,22.3715492957746,19.2488128772636,27.4650301810865,0,4.73843058350101,2.48531187122736,70.8367002012072,5.17002012072435,"0",6813
"4",2011-07-23,2011-07-23,"07","토요일",15214,21,22.4496579476861,19.4489738430584,26.9459154929577,0.023943661971831,3.17657947686117,1.60507042253521,69.4816901408451,1.13118712273642,"1",11125
"5",2011-07-26,2011-07-26,"07","화요일",8567,104,24.0065191146881,20.6549295774648,28.8569014084507,0.453319919517103,3.8938430583501,1.84591549295775,75.1274044265594,3.37303822937626,"1",15214
"6",2011-08-11,2011-08-11,"08","목요일",12000,19,25.8950100603622,23.6406841046278,29.3449094567404,15.0977867203219,4.05674044265594,1.52036217303823,83.5851911468813,0.827082494969819,"2",8567
"7",2011-08-12,2011-08-12,"08","금요일",9325,20,27.9288531187123,23.3126358148893,33.227967806841,0.0336418511066398,4.28124748490946,1.95657947686117,73.2817706237424,7.34643863179075,"1",12000
"8",2011-08-13,2011-08-13,"08","토요일",11469,16,27.4389939637827,23.7201207243461,32.7282494969819,12.18953722334,4.44575452716298,1.5758953722334,76.0050704225352,4.54853118712274,"2",9325
"9",2011-08-16,2011-08-16,"08","화요일",19366,26,26.8274849094567,23.2889738430584,32.3993963782696,8.82937625754527,4.0056338028169,1.5307444668008,77.1216498993964,4.42321931589537,"2",11469
"10",2011-08-18,2011-08-18,"08","목요일",13000,23,26.5684507042254,23.4604828973843,30.9799195171026,1.42881287726358,3.60454728370221,1.60905432595573,79.7203621730382,0.251750503018109,"1",19366
"11",2011-08-19,2011-08-19,"08","금요일",15229,35,24.1303822937626,22.405754527163,27.14953722334,9.51287726358149,3.67710261569417,1.85247484909457,81.3607243460765,1.53629778672032,"2",13000
"12",2011-08-22,2011-08-22,"08","월요일",14786,28,21.667444668008,17.1339637826962,26.956338028169,0.171388329979879,3.56853118712274,1.16016096579477,78.2544869215292,3.04643863179074,"1",15229
"13",2011-08-23,2011-08-23,"08","화요일",14719,32,20.3480482897384,16.8717907444668,23.907967806841,1.76217303822938,1.99810865191147,0.740080482897384,85.6539235412475,0.0564587525150905,"1",14786
"14",2011-08-27,2011-08-27,"08","토요일",19682,33,23.3180281690141,20.0124748490946,26.670583501006,0.056056338028169,3.51066398390342,1.27513078470825,79.8546881287726,0.0230985915492958,"1",14719
"15",2011-08-29,2011-08-29,"08","월요일",17507,70,23.8826559356137,19.5637022132797,27.8802012072435,0,3.04213279678068,1.34273641851107,78.0762173038229,2.81609657947686,"0",19682
"16",2011-08-30,2011-08-30,"08","화요일",13734,47,25.1209255533199,19.6166599597586,31.3464386317907,0,3.33352112676056,1.27879275653924,74.8743661971831,9.55810865191147,"0",17507
"17",2011-08-31,2011-08-31,"08","수요일",18652,56,25.4022937625755,20.6196780684105,32.3902615694165,0.965191146881288,3.56116700201207,1.32265593561368,74.4146881287726,7.40446680080483,"1",13734
"18",2011-09-01,2011-09-01,"09","목요일",16462,26,25.9158551307847,21.6282897384306,32.6486519114688,0,3.07943661971831,1.26321931589537,70.3876056338028,9.64692152917505,"0",18652
"19",2011-09-05,2011-09-05,"09","월요일",20155,97,23.8896177062374,19.167847082495,28.9313480885312,0,3.87830985915493,1.62028169014084,66.2811267605634,1.08193158953722,"0",16462
"20",2011-09-06,2011-09-06,"09","화요일",19856,83,21.3895774647887,16.8716700201207,27.4140845070423,1.19472837022133,3.52567404426559,1.27585513078471,74.2377867203219,3.68350100603622,"1",20155
"21",2011-09-07,2011-09-07,"09","수요일",15744,39,22.2011267605634,16.5982293762575,29.6001609657948,0,4.23585513078471,1.48989939637827,64.9498591549296,8.94700201207243,"0",19856
"22",2011-09-08,2011-09-08,"09","목요일",26264,36,21.3515895372233,12.9771428571429,29.3893360160966,0,3.34422535211268,1.10603621730382,62.7527967806841,7.8584708249497,"0",15744
"23",2011-09-09,2011-09-09,"09","금요일",24333,18,22.6639034205231,18.4334808853119,27.871509054326,0,3.33122736418511,1.23569416498994,66.7295774647887,2.42853118712274,"0",26264
"24",2011-09-10,2011-09-10,"09","토요일",29877,57,21.9969818913481,19.6154929577465,26.6694969818913,1.56136820925553,3.69525150905433,1.39311871227364,66.2225352112676,0.295010060362173,"1",24333
"25",2011-09-15,2011-09-15,"09","목요일",24839,28,25.5043058350101,21.4816498993964,32.6851911468813,0,2.98663983903421,0.845835010060362,75.6721931589537,6.2225754527163,"0",29877
"26",2011-09-16,2011-09-16,"09","금요일",19074,34,24.9914688128773,19.5317505030181,32.8898993963783,0,2.9261569416499,1.01496981891348,74.5561368209256,8.64804828973843,"0",24839
"27",2011-09-17,2011-09-17,"09","토요일",15667,21,25.6032997987928,19.3213682092555,32.9030583501006,0,3.19227364185111,1.1148490945674,72.4859154929577,8.67150905432596,"0",19074
"28",2011-09-19,2011-09-19,"09","월요일",25000,23,21.9762977867203,19.8402414486922,26.1037424547284,0,4.87843058350101,2.22977867203219,72.2823742454728,1.15158953722334,"0",15667
"30",2012-07-11,2011-07-11,"07","수요일",8696,46,25.037907444668,21.4553319919517,29.3212474849095,0.510342052313883,4.05158953722334,1.9035814889336,70.4407243460765,2.31782696177062,"1",10882
"31",2012-07-13,2011-07-13,"07","금요일",13200,20,26.0338028169014,21.903138832998,30.9453118712274,0,3.17472837022133,1.4307847082495,72.1571830985915,2.43295774647887,"0",8696
"32",2012-08-01,2011-08-01,"08","수요일",5000,20,30.4004024144869,24.9027766599598,36.7969416498994,0,3.21613682092555,1.41601609657948,61.8882092555332,11.3607645875252,"0",13200
"33",2012-08-02,2011-08-02,"08","목요일",6538,26,29.0604024144869,24.2042655935614,34.7991146881288,0,5.28313883299799,2.45211267605634,62.21046277666,12.1550503018109,"0",5000
"34",2012-08-03,2011-08-03,"08","금요일",5962,26,28.1307444668008,25.0917907444668,32.4387122736419,0,4.53995975855131,2.35247484909457,69.1279678068411,3.81561368209256,"0",6538
"35",2012-08-16,2011-08-16,"08","목요일",14750,58,27.9924346076459,23.3356136820926,32.4545674044266,3.30040241448692,4.52382293762575,1.80028169014084,72.7769818913481,1.96941649899396,"2",5962
"36",2012-08-18,2011-08-18,"08","토요일",19569,29,27.3273641851107,23.2074044265594,32.5281287726358,1.34285714285714,3.34555331991952,1.39629778672032,78.3783098591549,5.41782696177062,"1",14750
"37",2012-08-20,2011-08-20,"08","월요일",20050,40,29.1665995975855,24.998953722334,34.2859557344064,0.171388329979879,3.58048289738431,1.32076458752515,70.3078068410463,5.63022132796781,"1",19569
"38",2012-08-21,2011-08-21,"08","화요일",18698,48,27.5765392354125,24.0799195171026,31.5437826961771,0.157826961770624,3.03617706237425,1.20684104627767,75.4074044265594,0.82112676056338,"1",20050
"39",2012-08-22,2011-08-22,"08","수요일",12690,71,27.5903822937626,23.4039839034205,33.1580281690141,0.917142857142857,4.84712273641851,1.34579476861167,72.9317102615694,7.31344064386318,"1",18698
"40",2012-08-23,2011-08-23,"08","목요일",16477,22,24.8486519114688,23.4379879275654,29.1375452716298,21.9372233400402,3.84599597585513,1.17138832997988,86.1655533199195,0.141086519114688,"2",12690
"41",2012-08-25,2011-08-25,"08","토요일",18924,72,21.3336016096579,20.6365392354125,22.2865191146881,21.4056338028169,3.37122736418511,1.84800804828974,89.2893762575453,0,"2",16477
"42",2012-08-27,2011-08-27,"08","월요일",17129,35,26.6302615694165,21.6024949698189,32.6532394366197,0,4.39299798792757,1.76458752515091,74.3564185110664,10.7661971830986,"0",18924
"43",2012-08-29,2011-08-29,"08","수요일",20229,24,26.9039034205231,24.962615694165,29.9711468812877,22.2619718309859,7.96527162977867,4.53050301810865,73.8838229376258,0.57158953722334,"2",17129
"44",2012-08-30,2011-08-30,"08","목요일",18585,47,27.2364185110664,22.8551710261569,31.756861167002,0,4.6102615694165,2.11505030181087,67.502615694165,5.31879275653924,"0",20229
"45",2012-08-31,2011-08-31,"08","금요일",17969,80,24.2406841046278,19.5635412474849,27.6307847082495,14.5969818913481,7.46056338028169,2.30969818913481,82.7292152917505,0.0829376257545272,"2",18585
"46",2012-09-01,2011-09-01,"09","토요일",21532,63,22.4179476861167,18.7090945674044,28.3812877263581,0.884909456740443,3.9358953722334,1.85887323943662,72.9252716297787,5.81782696177062,"1",17969
"47",2012-09-03,2011-09-03,"09","월요일",23576,86,23.2617706237425,19.588490945674,29.7088128772636,0,3.50096579476861,1.4625754527163,75.3390744466801,6.1302615694165,"0",21532
"48",2012-09-04,2011-09-04,"09","화요일",19837,49,23.4000402414487,17.871629778672,30.0749295774648,0,3.21939637826962,1.26313883299799,77.4022937625755,5.46253521126761,"0",23576
"49",2012-09-05,2011-09-05,"09","수요일",25000,66,23.6426559356137,18.9801207243461,29.8303018108652,6.97344064386318,3.17412474849095,0.958591549295775,79.8061167002012,3.71167002012072,"2",19837
"50",2012-09-06,2011-09-06,"09","목요일",22404,167,23.6639034205231,19.2700201207243,29.6021730382294,13.8561368209256,4.79569416498994,1.4548490945674,72.8218108651911,5.07191146881288,"2",25000
"51",2012-09-08,2011-09-08,"09","토요일",33803,33,21.7603621730382,14.0479275653924,28.6270020120724,0.0437826961770624,4.25830985915493,1.61480885311871,71.3524346076459,7.13167002012072,"1",22404
"52",2012-09-10,2011-09-10,"09","월요일",28915,47,20.0510663983903,18.5897786720322,22.3391146881288,6.3327967806841,2.67754527162978,1.11336016096579,82.2127162977867,0.059476861167002,"2",33803
"53",2012-09-12,2011-09-12,"09","수요일",24572,21,19.2406841046278,14.0157746478873,26.8925150905433,0,4.01714285714286,1.27191146881288,75.8502615694165,7.98929577464789,"0",28915
"54",2012-09-13,2011-09-13,"09","목요일",8140,25,20.3863179074447,12.9249094567404,27.7685311871227,0,2.8169416498994,0.96092555331992,72.6372635814889,7.84434607645875,"0",24572
"55",2012-09-20,2011-09-20,"09","목요일",24500,16,20.1174647887324,14.9637022132797,26.7864788732394,0,4.06213279678068,1.51267605633803,70.141569416499,9.17287726358149,"0",8140
"56",2012-09-21,2011-09-21,"09","금요일",20226,31,18.5617706237425,12.4779879275654,26.2143661971831,0,3.45975855130785,1.11223340040241,70.8590744466801,9.24857142857143,"0",24500
"57",2012-09-22,2011-09-22,"09","토요일",18324,37,18.448370221328,12.4171026156942,25.2435010060362,0,2.95090543259557,0.938913480885312,74.2633802816901,5.52108651911469,"0",20226
"58",2012-09-24,2011-09-24,"09","월요일",18760,75,19.3251106639839,13.5972233400402,26.5658350100604,0,3.7543661971831,1.23609657947686,69.8788732394366,8.4892555331992,"0",18324
"60",2013-07-12,2011-07-12,"07","금요일",8723,47,29.1731589537223,24.2630181086519,34.48,0,3.89118712273642,1.99098591549296,64.4870422535211,10.5518309859155,"0",5181
"61",2013-07-15,2011-07-15,"07","월요일",9657,16,25.8906237424547,22.0439839034205,31.9395975855131,11.5162977867203,7.54076458752515,1.41971830985915,79.6942052313883,0.60953722334004,"2",8723
"62",2013-08-10,2011-08-10,"08","토요일",8712,33,30.8671227364185,25.9219315895372,36.6404024144869,0,4.44861167002012,1.94692152917505,67.9051509054326,10.6232193158954,"0",9657
"63",2013-08-15,2011-08-15,"08","목요일",10925,20,28.863138832998,23.2177062374245,35.4608450704225,0,3.6482092555332,1.62575452716298,63.9130784708249,11.659476861167,"0",8712
"64",2013-08-17,2011-08-17,"08","토요일",15172,29,28.7779879275654,22.4193963782696,35.5216901408451,0,3.20659959758551,1.42470824949698,63.8523138832998,11.0924748490946,"0",10925
"65",2013-08-19,2011-08-19,"08","월요일",15252,95,29.5926358148893,22.7001207243461,36.1274044265594,0,4.43480885311871,1.58981891348089,63.648490945674,10.5249496981891,"0",15172
"66",2013-08-20,2011-08-20,"08","화요일",13877,61,29.7472032193159,24.0005633802817,36.8956136820926,0,4.18760563380282,1.35356136820926,65.426921529175,9.16454728370221,"0",15252
"67",2013-08-21,2011-08-21,"08","수요일",9771,59,28.475814889336,23.9769818913481,34.7783501006036,2.04124748490946,4.66688128772636,1.78784708249497,68.6285714285714,8.05118712273642,"2",13877
"68",2013-08-22,2011-08-22,"08","목요일",13335,85,26.2847887323944,22.7425352112676,31.1845070422535,17.2040241448692,3.7082092555332,1.79030181086519,75.9826559356137,4.56490945674044,"2",9771
"69",2013-08-23,2011-08-23,"08","금요일",15020,50,26.9999195171026,22.6019718309859,32.8532796780684,3.2092555331992,2.8507444668008,0.990945674044266,81.4682494969819,2.42981891348089,"2",13335
"70",2013-08-26,2011-08-26,"08","월요일",16308,130,24.44,20.3191951710262,30.8114688128773,0.0362977867203219,4.03513078470825,1.47810865191147,72.8408853118712,8.33525150905433,"1",15020
"71",2013-08-27,2011-08-27,"08","화요일",13754,69,24.1715895372233,18.943138832998,31.5016498993964,0,2.7476861167002,0.942414486921529,70.6651911468813,7.83424547283702,"0",16308
"72",2013-08-28,2011-08-28,"08","수요일",22196,97,24.9381086519115,18.4058350100604,32.3895774647887,0,3.91376257545272,1.39766599597586,67.6021730382294,9.53561368209255,"0",13754
"73",2013-08-29,2011-08-29,"08","목요일",20127,63,25.3244265593561,19.4350503018109,31.9215291750503,0,2.91991951710262,1.06929577464789,68.7435412474849,7.39581488933602,"0",22196
"74",2013-08-30,2011-08-30,"08","금요일",17242,62,26.0863581488934,20.0254728370221,32.5517505030181,3.36800804828974,4.97734406438632,1.79822937625755,76.1221327967807,3.20579476861167,"2",20127
"75",2013-08-31,2011-08-31,"08","토요일",16250,56,25.5907042253521,23.3518712273642,30.209014084507,1.71146881287726,3.75629778672032,1.15565392354125,81.9622937625755,2.35287726358149,"1",17242
"76",2013-09-02,2011-09-02,"09","월요일",20529,139,22.4123138832998,18.1380684104628,28.0182696177062,0,3.90245472837022,1.7369014084507,70.2230181086519,8.51002012072435,"0",16250
"77",2013-09-03,2011-09-03,"09","화요일",25829,82,22.3444668008048,16.8394366197183,29.0498591549296,0,4.07034205231388,1.34547283702213,69.3789134808853,7.44869215291751,"0",20529
"78",2013-09-04,2011-09-04,"09","수요일",26396,91,20.2501810865191,17.8022937625755,23.1206438631791,0,2.47778672032193,0.841287726358149,79.258953722334,0.0463581488933602,"0",25829
"79",2013-09-05,2011-09-05,"09","목요일",28470,98,20.4373038229376,15.3558551307847,28.1078068410463,0,4.4810060362173,1.60599597585513,66.1378672032193,9.5687323943662,"0",26396
"80",2013-09-06,2011-09-06,"09","금요일",25117,64,19.5825754527163,13.6531187122736,24.4430985915493,0,3.88265593561368,1.22748490945674,68.9441448692153,4.16173038229376,"0",28470
"81",2013-09-07,2011-09-07,"09","토요일",18638,105,19.1367002012072,17.2762575452716,21.7063983903421,3.17344064386318,2.92559356136821,0.902937625754527,87.1848692152917,0.0490945674044266,"2",25117
"82",2013-09-09,2011-09-09,"09","월요일",34552,48,21.2689738430584,15.6332394366197,29.2383903420523,0,3.44374245472837,1.10370221327968,71.3845875251509,7.66370221327968,"0",18638
"83",2013-09-10,2011-09-10,"09","화요일",37321,53,21.4449899396378,14.8154124748491,28.8578269617706,0,3.19830985915493,1.03959758551308,70.5680482897384,7.44865191146881,"0",34552
"84",2013-09-11,2011-09-11,"09","수요일",16513,110,23.3910261569416,17.6536016096579,29.3190342052314,0.0970221327967807,2.91094567404427,1.06237424547284,69.9765794768612,4.01171026156942,"1",37321
"85",2013-09-12,2011-09-12,"09","목요일",22087,63,23.2552515090543,20.4985513078471,27.1819315895372,1.60301810865191,2.77348088531187,0.923782696177062,77.6377867203219,0.465070422535211,"1",16513
"86",2013-09-14,2011-09-14,"09","토요일",23182,121,25.3311871227364,19.9258350100604,31.3776257545272,0.039476861167002,3.53875251509054,1.2138430583501,76.8665191146881,4.50285714285714,"1",22087
"87",2013-09-16,2011-09-16,"09","월요일",7815,54,22.0870824949698,16.8542857142857,29.8529175050302,0,4.02619718309859,1.2415291750503,76.6108651911469,7.76700201207244,"0",23182
"88",2013-09-23,2011-09-23,"09","월요일",14184,19,20.4960563380282,16.7213279678068,27.0621730382294,0.19307847082495,5.5897384305835,1.68221327967807,75.8629376257545,2.90124748490946,"1",7815
"89",2013-10-01,2011-10-01,"10","화요일",33457,23,NA,17.7329577464789,NA,9.9579476861167,NA,NA,NA,3.87291750503018,"2",14184
"90",2013-10-02,2011-10-02,"10","수요일",23738,21,20.3372635814889,16.0911871227364,26.3767002012072,0,3.83625754527163,1.38567404426559,76.8201609657948,6.62901408450704,"0",33457
"91",2013-10-03,2011-10-03,"10","목요일",11045,22,19.4718309859155,14.4191951710262,26.1134004024145,0.639517102615694,4.51203219315895,1.63002012072435,75.2598390342052,NA,"1",23738
"92",2013-10-17,2011-10-17,"10","목요일",2000,21,10.3228571428571,4.9502615694165,17.388490945674,0,3.47806841046278,1.45581488933602,64.3558953722334,8.83750503018109,"0",11045
"94",2014-07-15,2011-07-15,"07","화요일",14000,17,27.0235412474849,21.2530382293763,33.7309054325956,0,3.9558953722334,2.01818913480885,57.2710261569416,11.6715895372233,"0",10500
"95",2014-08-02,2011-08-02,"08","토요일",3028,54,27.0383098591549,22.2065995975855,32.8733199195171,0.808812877263581,5.14020120724346,2.05042253521127,76.3844668008048,2.81476861167002,"1",14000
"96",2014-08-08,2011-08-08,"08","금요일",8811,53,22.4985915492958,20.6616901408451,25.62523138833,29.0402414486922,3.31110663983903,1.16732394366197,92.5845472837022,0,"2",3028
"97",2014-08-09,2011-08-09,"08","토요일",8649,37,22.2858350100604,19.2169818913481,25.3460764587525,15.4603621730382,4.69649899396378,2.25637826961771,81.7091348088531,0.119114688128773,"2",8811
"98",2014-08-11,2011-08-11,"08","월요일",7468,78,22.6600804828974,20.3946881287726,27.9540442655936,14.0661971830986,5.40929577464789,1.28832997987928,88.3034607645875,0.678028169014085,"2",8649
